"DAY SHEETS, as at 9:21AM on Tuesday 9th"
DAY 1: Saturday 25th April 2026
Race,Time,Event #,Event Type,Round,Division,lane_1,lane_2,lane_4,lane_5
1,08:30,8,B U17 C2X,heat,1,,,COM* 1,MTAL 1
2,08:36,8,B U17 C2X,heat,2,,,TGSC 2,WKOC 1
3,08:42,8,B U17 C2X,heat,3,,,MTAL 3,WKOC 2
4,08:48,8,B U17 C2X,heat,4,,,HAMC 2,MTAL 2
5,08:54,8,B U17 C2X,heat,5,,,TGSC 1,MTAL 4
6,09:00,8,B U17 C2X,heat,6,,,SHAC 2,CASH 1
68,09:03,1,B U18 C1X,heat,1,WKOC 2,SHAC 1,,
7,09:06,8,B U17 C2X,heat,7,,,HAM* 1,SHAC 1
69,09:09,1,B U18 C1X,heat,2,NSHC 1,VILC 1,,
8,09:12,9,G U17 C2X,heat,1,,,WREC 1,TGSC 4
70,09:15,1,B U18 C1X,heat,3,PETC 2,KICC 2,,
9,09:18,9,G U17 C2X,heat,2,,,POR* 1,TGSC 2
71,09:21,1,B U18 C1X,heat,4,AGSB 1,SHAC 2,,
10,09:24,9,G U17 C2X,heat,3,,,TGS* 1,BPC* 3
72,09:27,1,B U18 C1X,heat,5,MTAL 2,WELC 1,,
11,09:30,9,G U17 C2X,heat,4,,,WESC 1,COMC 3
73,09:33,1,B U18 C1X,heat,6,PETC 3,HAMC 1,,
12,09:36,9,G U17 C2X,heat,5,,,NSHC 1,MTAL 1
74,09:39,1,B U18 C1X,heat,7,WESC 1,KICC 1,,
13,09:42,9,G U17 C2X,heat,6,,,BPCC 1,MTAL 2
75,09:45,1,B U18 C1X,heat,8,PETC 1,WTMC 3,,
14,09:48,9,G U17 C2X,heat,7,,,MTAL 3,TGSC 3
76,09:51,1,B U18 C1X,heat,9,BPCC 1,WTMC 2,,
15,09:54,9,G U17 C2X,heat,8,,,HOWI 1,NSHC 2
77,09:57,1,B U18 C1X,heat,10,KICC 3,WELC 2,,
16,10:00,9,G U17 C2X,heat,9,,,KICC 1,COMC 6
78,10:03,1,B U18 C1X,heat,11,WTMC 1,MTAL 4,,
17,10:06,9,G U17 C2X,heat,10,,,COMC 1,COMC 2
79,10:09,1,B U18 C1X,heat,12,MTAL 1,SPSC 1,,
18,10:12,9,G U17 C2X,heat,11, - - CANCELLED - -,,,,
80,10:15,1,B U18 C1X,heat,13,WREC 1,NSHC 11,,
19,10:18,3,M Clb C2X,heat,1,,,AUBC 2,WESC 1
81,10:21,1,B U18 C1X,heat,14,SGEC 1,TGSC 2,,
20,10:24,3,M Clb C2X,heat,2,,,BPCC 1,AUBC 1
82,10:27,1,B U18 C1X,heat,15,MTAL 3,TGSC 1,,
21,10:30,3,M Clb C2X,heat,3,,,SHA* 1,AUBC 3
83,10:33,1,B U18 C1X,heat,16,WKOC 1,WESC 2,,
22,10:36,3,M Clb C2X,heat,4,,,TGA* 1,SHAC 2
23,10:42,3,M Clb C2X,heat,5,,,WTMC 1,
84,11:15,20,W Opn C1X,time trial,1,,,,
24,11:18,4,W Clb C2X,heat,1,,,AUBC 2,BPCC 1
25,11:24,4,W Clb C2X,heat,2,,,TGA* 1,WKOC 1
26,11:30,4,W Clb C2X,heat,3,,,AUBC 4,EBSC 1
27,11:36,4,W Clb C2X,heat,4,,,WREC 1,
28,11:42,5,Mx Clb C2X,heat,1,,,WTMC 1,AUBC 1
85,11:45,2,G U18 C1X,heat,1,PORC 1,TGSC 1,,
29,11:48,5,Mx Clb C2X,heat,2,,,SHA* 1,TGA* 2
86,11:51,2,G U18 C1X,heat,2,MTAL 1,MTAL 2,,
30,11:54,5,Mx Clb C2X,heat,3,,,TGAC 1,AUBC 2
87,11:57,2,G U18 C1X,heat,3,HAMC 1,SPSC 1,,
31,12:00,11,W C-D C2X,prelim,1,,,WESC 1 (C),WESC 2 (D)
88,12:03,2,G U18 C1X,heat,4,WESC 2,HOWI 2,,
32,12:06,12,B U18 C2X,heat,1,,,WTMC 1,MTAL 2
