"DAY SHEETS, as at 9:16AM on Wednesday 10th"
DAY 1: Monday 23rd March 2026
Race,Time,Event #,Event Type,Round,Division,lane_1,lane_2,lane_3,lane_4,lane_5,lane_6,lane_7,lane_8,lane_9,Progression
1 (A),08:00,1,B U17 1X,heat,1,TRGB 1,,TAUH 1,TIMB 1,FRAN 1,PARN 1,,WLCO 1,,"1-4=Q F; Rest Elim"
2 (B),08:05,1,B U17 1X,heat,2,TAUP 2,AQUI 2,PUKE 1,WNHS 1,CASH 1,OTUM 1,HAMB 1,CAMB 1,,"1-4=Q F; Rest Elim"
3 (C),08:10,1,B U17 1X,heat,3,SPLH 1,HLCR 1,FRAN 2,MTAL 1,BURN 1,STKT 1,STBD 1,WNCS 1,,"1-4=Q F; Rest Elim"
4 (D),08:15,1,B U17 1X,heat,4,NELB 1,ROTL 1,JMCG 1,HAUR 1,WENT 1,SHIR 2,MTAS 1,CHCO 1,,"1-4=Q F; Rest Elim"
5 (E),08:20,1,B U17 1X,heat,5,GBHS 2,STCC 1,BTHC 1,NAPB 1,SHIR 1,AQUI 1,WTKB 1,MACL 1,,"1-4=Q F; Rest Elim"
6 (F),08:25,1,B U17 1X,heat,6,ONSL 2,GBHS 1,WAKA 2,NPLB 1,STLN 1,TAUP 3,KHSD 1,STPA 1,,"1-4=Q F; Rest Elim"
7 (G),08:30,1,B U17 1X,heat,7,MLBB 1,TEAW 1,ONSL 1,SPTW 1,ASHB 1,WAKA 1,WLCO 2,,,"1-4=Q F; Rest Elim"
8 (H),08:35,2,G U17 4+,heat,1,EGGS 1,MLBG 1,DIOC 2,WKDS 2,ASHB 1,WLGC 1,CASH 1,,,"1=FA; 2-5=R"
9 (I),08:40,2,G U17 4+,heat,2,,WTLG 1,DIOC 1,WKDS 1,BARA 1,STMG 1,AVSG 2,,,"1=FA; 2-5=R"
10 (J),08:45,2,G U17 4+,heat,3,,BARA 2,STAN 1,CGHS 1,RRGS 2,HAMG 1,PUKE 1,,,"1=FA; 2-5=R"
11 (K),08:50,2,G U17 4+,heat,4,,CAMB 1,STKT 1,WNCS 1,STMG 2,RRGS 1,QMAR 1,,,"1=FA; 2-5=R"
12 (L),08:55,3,B U15 2X,heat,1,KHSD 1,SPTW 1,GARI 1,BURN 1,TRGB 1,MTAS 1,HAUR 2,SCOT 1,,"1=FA; 2-5=R"
13 (M),09:00,3,B U15 2X,heat,2,WTKB 1,CASH 1,TIMB 1,SPLH 1,GLDW 1,WNCS 1,RONC 1,ASHB 1,,"1=FA; 2-5=R"
14 (N),09:05,3,B U15 2X,heat,3,BTHC 1,HUAN 1,HAUR 1,HAMB 1,DUNS 1,SLDB 1,WAKA 1,WNHS 1,,"1=FA; 2-5=R"
15 (O),09:10,3,B U15 2X,heat,4,KGCA 1,JMCG 1,TAKA 1,HLMT 1,ONSL 1,HOWI 1,DARF 1,CHCO 1,,"1=FA; 2-5=R"
16 (P),09:15,4,G U15 4X+,heat,1,OGHS 1,VILL 1,STMW 1,HAMG 1,CRAI 1,MTAL 1,ASHB 1,STMG 1,,"1,2=S; 3-5=R"
17 (Q),09:20,4,G U15 4X+,heat,2,MARN 1,STKT 1,GERA 1,DIOC 1,WAKA 1,TAKA 2,STKT 2,STHI 2,,"1,2=S; 3-5=R"
18 (R),09:25,4,G U15 4X+,heat,3,SAMU 1,CRAI 2,WHGG 1,STPC 1,IONA 1,WTKG 1,WAKA 3,BURN 1,,"1,2=S; 3-5=R"
19 (S),09:30,4,G U15 4X+,heat,4,JHAR 2,STPC 2,WAKA 2,WNHS 1,KGCA 1,GLDW 1,CASH 1,BTHC 1,,"1,2=S; 3-5=R"
20 (T),09:35,4,G U15 4X+,heat,5,TIMG 1,COLU 1,QHSD 1,STHI 1,TAKA 1,TRGG 1,JHAR 1,,,"1,2=S; 3-5=R"
21 (U),09:40,5,B U18 2-,heat,1,JPCR 1,HASB 1,SJHM 2,WTLB 1,STAN 1,WLCO 1,WAKA 1,,,"1=S; Rest=R"
22 (V),09:45,5,B U18 2-,heat,2,,SHIR 1,CBHS 1,CHCO 1,AGSB 2,NELB 1,GBHS 1,,,"1=S; Rest=R"
23 (W),09:50,5,B U18 2-,heat,3,,NGAR 1,CBHS 2,KGCA 1,STCC 1,CHCO 2,AGSB 3,,,"1=S; Rest=R"
24 (X),09:55,5,B U18 2-,heat,4,,WTKB 1,HAMB 1,AGSB 1,SJHM 1,MTAL 1,AOTE 1,,,"1=S; Rest=R"
25 (Y),10:00,6,G U18 2X,heat,1,WTKG 1,GGHS 1,CRAI 1,STCU 1,IONA 1,STPC 1,WLGC 2,,,"1-4=Q; Last Elim; Rest=R"
26 (Z),10:05,6,G U18 2X,heat,2,NCOG 1,GLDW 2,STCA 1,SPLH 1,SHGN 1,OGHS 1,EGGS 1,,,"1-4=Q; Last Elim; Rest=R"
27 (A),10:10,6,G U18 2X,heat,3,HUAN 1,WAKA 1,COLU 1,QMAR 1,DIOC 1,KGCA 1,WLGC 1,,,"1-4=Q; Last Elim; Rest=R"
28 (B),10:15,6,G U18 2X,heat,4,STHI 1,DUNS 1,GLDW 1,VILL 1,STKT 1,JHAR 1,ROTL 1,,,"1-4=Q; Last Elim; Rest=R"
29 (C),10:20,6,G U18 2X,heat,5,SCOT 1,VILL 2,STLN 1,WEGC 1,HLCR 1,WHGG 1,BURN 1,,,"1-4=Q; Last Elim; Rest=R"
30 (D),10:25,6,G U18 2X,heat,6,SHGH 1,HOWI 1,CASH 1,HAUR 1,HLMT 1,MTAL 1,SAMU 1,,,"1-4=Q; Last Elim; Rest=R"
31 (E),10:30,7,B U16 4X+,heat,1,HAMB 1,BURN 1,STBD 1,WAKA 1,KGCA 1,SHIR 1,TRGB 1,,,"1=FA; 2-5=R"
32 (F),10:35,7,B U16 4X+,heat,2,WLCO 1,STAN 1,WAKA 2,CASH 1,STKT 1,SHAK 1,STPA 2,JMCG 2,,"1=FA; 2-5=R"
33 (G),10:40,7,B U16 4X+,heat,3,CBHS 1,STBD 2,STKT 2,JMCG 1,STPA 1,STPC 1,SPTW 1,TIMB 1,,"1=FA; 2-5=R"
34 (H),10:45,7,B U16 4X+,heat,4,CBHS 2,AGSB 1,SPLH 1,WNCS 1,MTAL 1,RAHS 1,SHIR 2,,,"1=FA; 2-5=R"
35 (I),10:50,8,G U16 1X,heat,1,GARI 1,BURN 1,SHGN 1,MLBG 1,HOWI 1,SLDG 1,DIOC 1,GGHS 2,,"1,2=S; 3-5=R"
36 (J),10:55,8,G U16 1X,heat,2,TALC 1,TRGG 1,KGCA 1,STHI 1,JPCR 1,NCOG 1,GERA 1,HUAN 1,,"1,2=S; 3-5=R"
37 (K),11:00,8,G U16 1X,heat,3,JHAR 1,ROLL 1,HAMG 1,SAMU 1,MTAL 1,BTHC 1,GGHS 1,SHGN 2,,"1,2=S; 3-5=R"
38 (L),11:05,8,G U16 1X,heat,4,STMG 1,RONC 1,QHSD 1,WHGG 1,AOTE 1,POMP 1,TIMG 1,HLMT 1,,"1,2=S; 3-5=R"
39 (M),11:10,8,G U16 1X,heat,5,GLDW 1,WENT 1,WNHS 1,COLU 1,LINC 1,MARN 1,TAUH 1,,,"1,2=S; 3-5=R"
40 (N),11:15,9,B N18 2X,heat,1,BTHC 2,SPTW 1,ROTB 1,SPLH 1,HASB 1,BTHC 1,KHSD 1,WTKB 1,,"1,2=S; 3-5=R"
41 (O),11:20,9,B N18 2X,heat,2,CASH 1,RONC 1,DUNS 1,WNHS 1,FRAN 1,TIMB 2,HUAN 1,,,"1,2=S; 3-5=R"
42 (P),11:25,9,B N18 2X,heat,3,HLMT 1,KGCA 1,GLDW 1,BURN 1,MLBB 1,MTAS 1,STPC 1,TAKA 1,,"1,2=S; 3-5=R"
43 (Q),11:30,9,B N18 2X,heat,4,TRGB 1,ASHB 1,SLDB 1,WHGB 1,HAUR 1,PAPA 1,WAKA 1,DARF 1,,"1,2=S; 3-5=R"
44 (R),11:35,9,B N18 2X,heat,5,JMCG 1,GARI 1,SCOT 1,TIMB 1,WLCO 1,PAPA 2,SPLH 2,,,"1,2=S; 3-5=R"
45 (S),11:40,10,G N18 8+,heat,1,,WKDS 1,STPC 1,EGGS 1,RRGS 1,DIOC 1,STMG 1,,,"1=FA; 2-8=R"
46 (T),11:45,10,G N18 8+,heat,2,STMG 2,CASH 1,WTKG 1,STCU 1,SHGH 1,CGHS 1,RRGS 2,,,"1=FA; 2-8=R"
47 (U),11:50,11,B U17 8+,heat,1,STCC 1,HAMB 1,CHCO 1,STBD 1,STKT 1,KGCA 1,CHCO 3,,,"1=FA; 2-8=R"
48 (V),11:55,11,B U17 8+,heat,2,,TIMB 1,STPA 1,AGSB 1,STAN 1,CHCO 2,WTLB 1,,,"1=FA; 2-8=R"
49 (W),12:00,12,G U17 4X+,heat,1,HLCR 1,WAKA 3,HAMG 1,ASHB 1,OGHS 1,NCOG 1,GGHS 1,ROTL 1,,"1,2=S; 3-5=R"
50 (X),12:05,12,G U17 4X+,heat,2,ROTG 1,CAMB 1,CASH 1,BURN 1,WEGC 1,DIOC 1,WAKA 2,WNHS 2,,"1,2=S; 3-5=R"
51 (Y),12:10,12,G U17 4X+,heat,3,WAKA 4,STCU 1,SPLH 1,CRAI 1,WTLG 1,MARN 1,WHGG 1,CRAI 2,,"1,2=S; 3-5=R"
52 (Z),12:15,12,G U17 4X+,heat,4,STHI 1,MTAS 1,VILL 1,MTAL 1,ACGT 1,WNCS 1,JHAR 1,WLGC 1,,"1,2=S; 3-5=R"
53 (A),12:20,12,G U17 4X+,heat,5,COLU 1,BURN 2,TAKA 1,WNHS 1,HAUR 1,WAKA 1,STKT 1,WHGG 2,,"1,2=S; 3-5=R"
54 (B),12:25,13,B U15 8X+,heat,1,JMCG 1,STCC 1,CHCO 1,AGSB 1,STKT 1,SHIR 1,HAMB 1,,,"1=FA; 2-8=R"
