"COMPETITOR NAMES, as at 9:21AM on Tuesday 9th"
DAY 1: Friday 23rd January 2026
Race,Time,Event #,Event Type,Round,Division,Names
1 (A),07:30,1C,Opn 2X (P) [1000m],prelim,1,"Christopher Dyer, Toby Ireland, Poppy Hawkins, Zoe Penny, Ava Probst, Zoe Penny, Pita Shelford, Naomi Carter"
2 (B),07:32,1,W Clb 2X,heat,1,"Colbie Stott, Kaia Burney, Siina Cooke, Grace Lasenby, Te Aria Jackson, Ava Stevens, Casey-Lee Baker, Asarina Johnson, Tessa Thomson, Olivia Martin, Jasmine Sieber, Emily Mogg, Emily Swain, Grace McKenna, Beatrix Baird-Smith, Anastasia Graham"
3 (C),07:36,1,W Clb 2X,heat,2,"Charlie Wright, Emily Riley, Poppie Balm, Zana Slavic, Tessa Chappell, Maiara Moimoi, Emily Pengelly, Tallulah Kubaisi-Gallagher, Sophia Mason, Olivia Waddell, Sophia Mason, Polly Hunter, Sophia Mason, Olivia Carruthers, Grace Iremonger, Ayla Rowe, Zoe Plowman, Ivy Lundon, Stella Harrop, Olive MacDonald"
4 (D),07:40,1,W Clb 2X,heat,3,"Pippa Peacocke, Taylor Ewen, Clare Ruston, Mya Carrington, Nachalah Smith, Sophie Harrison, Olivia Gibson, Kate Stables, Dovey Mabey, Anna Barradell, Megan Ritchie, Sarah Ritchie, Lola Storey, Ruhi Powdrell, Lila Russell, Rebecca Young"
5 (E),07:44,1,W Clb 2X,heat,4,"Lucy Anderson, Mia Breen, Elise Callaghan, Terani Emose, Hazel Church, Polly Hunter, Jemma Lorch-Church, Frances Ogilvie, Zara Blackie, Paige Tevita-Williams, Rebecca Wilson, Kate Hamilton, Catherine McIver, Anahera Hawke, Rosie Jones-Rawstorne, Eva Sorsa"
6 (F),07:48,1,W Clb 2X,heat,5,"Freya Mei, Tiulipe Tekiteki, Annabel Shaw, Frances Hazeldine, Sophie Sayer, Keeley Bannister, Ashley Pryor, Lucy Gaston, Milan Teinakore, Jasmine Brake, Bailey Barnett, Addison Jenkins, Phoebe Hawkes, Isabel Peacocke, Tiia Cooke, Ashlee Walden"
7 (G),07:52,1,W Clb 2X,heat,6,"Marie-Lou Wolpert, Naiya Wolpert, Ruby Bullock, Caralie Hanna, Isabella Stewart, Francie O'Sullivan, Arielle Smith, Corbin Radford, Cate Kuggeleijn, Lily Cameron, Mila Tallon, Sophia Amey, Tana Godfrey, Lola Eilering, Tillie King, Bonnie Mason"
8 (H),07:56,2,M Clb 2X,heat,1,"Albert Swanepoel, Jack Clark, Hunter Clapham, Jeremy Bryant, Charlie Moorhead, Kazuki Bowcock, Harrison McClintock, Alex Laurenson, Lachlan Reader, Alexander Sharp, Christopher Snyman, Tyler Tretheway, Nico Febery, Zach Bidwell, Fraser Hart, Tom Ward"
9 (I),08:00,2,M Clb 2X,heat,2,"Leo O'Reilly, Luca Cartwright, Caleb Brown, Nick Fahey, Josh Cassidy, Blake Taylor, Hamish Perry, Jack Fuller, Achilles Paikea, James Tiglao, Merleau Moons, Johno O'Brien, Nico McComb, Aiden Soper, Jordan Spark, Jack Jenkins, Henry Warren, Harry Davies"
10 (J),08:04,2,M Clb 2X,heat,3,"Angus Bumby, Ben Cook, Oliver Kohlhase, Noah Prendergast, Joshua Payne, Vaughn Cameron, Tyler Nelson, Wilson Gee, Angus Denize, Jack Calcinai, James Olds, Ritchie Williams, Hugo Jancys, Sebastian Wallace, Iain Scotcher, Hugo Miller"
11 (K),08:08,2,M Clb 2X,heat,4,"Henry Johnston, Roman Andrews, James Montgomerie, Jack Dickie, Scott Alderson, Darryn van der Sandt, Xavier Warren, Bryn Morgan, Hugh Manson, Devin Armstrong, Dylan van Mil, Connor Johnson, Alexander Dinkel, Shaun Diver, Brad Salthouse, Arlo Powell"
12 (L),08:12,2,M Clb 2X,heat,5,"Daniel Song, Doyong Um, Heath Elliot, James Hayes, Max Clausen, Lachlan Murphy, Blake Leach, Cameron Churchill, Quin Howard-Shi, Kayden Taufa, Antoneo van Deursen, William Peoples, Jamie Vukovich, Charlie Tallon, Anthony Jones, Harry Sherrit"
13 (M),08:16,2,M Clb 2X,heat,6,"Henry Couper, Isaac Ng, Delani Thomas, Benjamin Sonntag, Wesley Stark, Johnny Butler, Liam Fox, Craig Ford, Sid McQueen, Guy Curry-Stanton, River Somerton, Blake Bramwell, Alexander Jones, Oscar McFarlane, Sean Brooks-Adams, James Knottenbelt"
