"DAY SHEETS, as at 9:21AM on Tuesday 9th"
DAY 1: Sunday 25th January 2026
Race,Time,Event #,Event Type,Round,Division,lane_1,lane_2,lane_3,lane_4,lane_5,lane_6,lane_7,lane_8,lane_9,Progression
283 (L),07:00,41C,Opn 1X (P) [1000m],final,A, - - CANCELLED - -,,,,,,,,,""
192 (B),07:02,1,W Clb 2X,final,A,HWBC 1,AWGC 1,SPCC 1,COMC 1,STAC 3,WKOC 1,STAC 1,WESC 1,TGAC 1,"medals"
193 (C),07:08,2,M Clb 2X,final,A,SPCC 1,AWGC 2,WKOC 1,AWGC 1,CLIC 2,WESC 1,HKIC 1,TGBC 1,HAMC 1,"medals"
194 (D),07:14,3,W Int 4+,final,A,HAMC 1,WKDS 1,WKDS 2,CAMC 21,WANC 1,AKLC 31,HAMG 2,BPCC 1,AKLC 32,"medals"
195 (E),07:20,4,W Nov 2X,final,A,TGAC 1,SGEC 11,HAMC 1,WESC 1,NSHC 1,HWBC 1,SKEC 1,WREC 2,,"medals"
197 (G),07:32,6,M Int 4X+,final,A,SKEC 2,SHAC 1,TGSC 1,SPCC 1,HWBC 1,AWGC 1,KICC 1,SPCC 2,TGBC 1,"medals"
198 (H),07:38,7,M Nov 8+,final,A,STAC 1,HWBC 1,AKGC 1,CLIC 1,KICC 1,KICC 2,TGBC 1,AKGC 2,CAMC 21,"medals"
199 (I),07:44,8,M Prm 1X,final,A,CLIC 1,RNZX 3,WKOC 1,RNZX 2,WKOC 2,RNZX 1,RPHN 2,RNZX 5,NSHC 1,"medals"
200 (J),07:50,9,W Prm 1X,final,A,WESC 1,WKOC 2,RNZX 4,RNZX 1,RNZX 5,WKOC 6,RNZX 3,WKOC 1,WKOC 4,"medals"
201 (K),07:56,10,M Snr 2-,final,A,WESC 1,WKOC 2,AKLC 1,NSHC 2,NSHC 1,WKOC 3,WESC 2,WKOC 1,WKOC 4,"medals"
202 (L),08:00,12,W Clb 8+,final,B,,COMC 1,CAMC 21,,STAC 1,EGGS 2,,,,""
203 (M),08:04,12,W Clb 8+,final,A,AKLC 32,NSHC 1,EGGS 1,AKLC 31,HAMC 1,WKOC 1,WKDS 1,SKEC 1,HAMG 1,"medals"
204 (N),08:10,13,W Int 2X,final,A,WANC 1,TGAC 1,HWBC 1,TGSC 1,CLIC 1,WESC 1,COMC 1,WREC 2,CAMC 21,"medals"
205 (O),08:16,14E,W #2 Nov 4+,final,A,AKLC 33,HAMG 1,AKLC 32,WKDS 1,WKDS 2,NSHC 1,PETC 1,AKLC 34,,"medals"
206 (P),08:22,15,W Nov 4+,final,A,CAMC 21,WESC 1,AKLC 31,WKDS 1,NSHC 1,HAMC 1,EGGS 1,HWBC 1,,"medals"
207 (Q),08:28,16,M Clb 4-,final,A,WKOC 2,WKOC 1,HWBC 1,NSHC 1,STAC 1,AKLC 1,GISC 1,NSHC 2,AKLC 2,"medals"
208 (R),08:34,17,M Clb 4+,final,A,SKEC 2,,KICC 3,SJHM 1,KICC 1,AKGC 1,KICC 2,STAC 1,,"medals"
209 (S),08:38,18,M Int 8+,final,B,STAC 1,KICC 3,AKGC 2,SPCC 1,SKEC 1,,WANC 1,,,""
210 (T),08:42,18,M Int 8+,final,A,MERC 1,SKEC 2,AKGC 3,KICC 1,SHAC 1,AKGC 1,KICC 2,HWBC 1,,"medals"
211 (U),08:48,19,M Prm 2-,final,A,NSHC 2,WKOC 1,RNZX 3,RNZX 1,RNZX 2,RPHN 1,WKOC 2,AKLC 1,,"medals"
212 (V),08:54,21,M Snr 2X,final,A,NSHC 1,SHAC 11,TGAC 1,CLIC 1,SGEC 1,SPCC 1,AWGC 1,WKOC 2,WKOC 3,"medals"
213 (W),08:58,23,W Int 8X+,final,B,GIS* 1,TGSC 2,SKEC 2,CAMC 21,WKDS 1,SKEC 1,CAMC 11,,,""
214 (X),09:02,23,W Int 8X+,final,A,MERC 1,BPCC 1,AKLC 31,HAMC 1,WREC 1,AWGC 1,CLIC 1,TGSC 1,,"medals"
215 (Y),09:08,24E,M #2 Nov 4X+,final,A,STAC 1,HWBC 1,CAMC 1,SKEC 1,AWGC 1,AKGC 1,KICC 1,SPCC 1,,"medals"
216 (Z),09:14,25,M Nov 4X+,final,A,AWGC 1,CAMC 21,CLIC 1,TGAC 1,AKGC 1,WHAC 1,SKEC 1,HWBC 1,,"medals"
217 (A),09:20,26,W Clb 4X-,final,A,WKO* 1,ROTC 1,AWGC 1,HAMC 1,WESC 1,COMC 1,TAWC 1,BPCC 1,STAC 1,"medals"
218 (B),09:26,27,W Clb 4X+,final,A,AKLC 31,CAMC 12,SPCC 1,AKLC 32,CAMC 11,BPCC 1,KICC 1,GISC 1,SKEC 1,"medals"
219 (C),09:32,28,M Clb 1X,final,A,CLIC 2,PORC 1,AKLC 1,HKIC 1,HAMC 1,TAWC 2,WKOC 1,GISC 1,SGEC 3,"medals"
220 (D),09:38,29,M Int 2X,final,A,TGBC 1,HAMC 1,SHAC 11,BPCC 1,WKOC 1,GISC 1,WANC 1,TAWC 1,AWGC 1,"medals"
221 (E),09:43,31,W Nov 8X+,final,B,,BPCC 1,CAMC 21,CAMC 22,,HAMC 1,,,,""
222 (F),09:48,31,W Nov 8X+,final,A,HWBC 1,UNWC 1,AKLC 32,SKEC 1,AWGC 1,AKLC 31,WKDS 1,COMC 2,,"medals"
223 (G),09:52,32,W Int 8+,final,B,EGGS 3,HAMC 1,SKEC 1,STAC 1,WREC 1,CAMC 11,CAMC 22,WEL* 1,,""
224 (H),09:56,32,W Int 8+,final,A,MERC 1,COMC 1,WKDS 1,AKLC 31,CAMC 21,KIC* 1,EGGS 2,EGGS 1,PORC 1,"medals"
225 (I),10:02,34,W Clb 2-,final,A,WKDS 2,AKLC 31,WANC 1,EGGS 1,HAMC 1,WKOC 1,MERC 1,SKEC 1,NSHC 3,"medals"
226 (J),10:06,35,M Clb 8+,final,B,,,AKGC 3,,PETC 1,,,,,""
227 (K),10:10,35,M Clb 8+,final,A,KICC 1,NSHC 1,AKGC 2,SGE* 1,WKOC 1,HWBC 1,SJHM 1,SKEC 1,AKLC 1,"medals"
228 (L),10:16,37,M Nov 4+,final,A,SPCC 1,AKGC 1,TGBC 1,KICC 1,SJHM 1,KICC 2,WELC 1,CAMC 21,,"medals"
229 (M),10:20,39,M Int 8X+,final,B,,WANC 1,KICC 1,CAMC 21,HKIC 1,STAC 1,TGSC 1,,,""
230 (N),10:24,39,M Int 8X+,final,A,SHAC 1,BPCC 1,SKEC 2,SPCC 1,TGBC 1,HAMC 1,SKEC 1,WHAC 1,,"medals"
231 (O),10:29,40,W Nov 8+,final,B,CLIC 1,WRE* 1,HAMG 1,WKDS 2,PETC 1,CAMC 22,HAMC 1,COMC 2,,""
232 (P),10:34,40,W Nov 8+,final,A,COMC 1,EGGS 1,CAMC 21,NSHC 1,WKDS 1,AKLC 31,HWBC 1,AKLC 32,,"medals"
