"DAY SHEETS, as at 5:48AM on Friday 4th"
DAY 1: Friday 23rd January 2026
Race,Time,Event #,Event Type,Round,Division,lane_1,lane_2,lane_3,lane_4,lane_5,lane_6,lane_7,lane_8,lane_9,Progression
1 (A),07:30,1C,Opn 2X (P) [1000m],prelim,1,,,,PETC 1,TGSC 1,CAMC 1,,,,""
2 (B),07:32,1,W Clb 2X,heat,1,TGAC 2,WREC 3,AKLC 1,TAWC 1,STAC 1,ROTC 1,EGGS 2,WELC 1,,"1=FA; + 3 NF; NF 9=FB; etc"
3 (C),07:36,1,W Clb 2X,heat,2,WELC 2,HKIC 1,TAWC 2,BPCC 1,SPCC 1,WHAC 1,KICC 2,CAMC 12,,"1=FA; + 3 NF; NF 9=FB; etc"
4 (D),07:40,1,W Clb 2X,heat,3,CAMC 13,GISC 1,BPCC 2,WKDS 1,WREC 1,HWBC 1,STAC 3,COMC 2,,"1=FA; + 3 NF; NF 9=FB; etc"
5 (E),07:44,1,W Clb 2X,heat,4,EGGS 1,WESC 2,SPCC 2,KICC 1,COMC 1,TGAC 1,BPCC 3,STAC 2,,"1=FA; + 3 NF; NF 9=FB; etc"
6 (F),07:48,1,W Clb 2X,heat,5,COMC 3,ROTC 2,SKEC 1,WKOC 1,WESC 1,AWGC 2,TGSC 2,WREC 4,,"1=FA; + 3 NF; NF 9=FB; etc"
7 (G),07:52,1,W Clb 2X,heat,6,PETC 1,AWGC 1,CLIC 1,HAMC 1,CAMC 11,BPCC 4,WREC 2,GISC 2,,"1=FA; + 3 NF; NF 9=FB; etc"
8 (H),07:56,2,M Clb 2X,heat,1,KICC 1,PORC 1,GISC 3,HWBC 1,WKOC 1,MERC 2,SPCC 1,CAMC 1,STAC 3,"1=FA; + 3 NF; NF 9=FB; etc"
9 (I),08:00,2,M Clb 2X,heat,2,CAMC 3,SGEC 1,WELC 1,CLIC 3,AWGC 1,HAMC 1,TGBC 2,PORC 2,KICC 2,"1=FA; + 3 NF; NF 9=FB; etc"
10 (J),08:04,2,M Clb 2X,heat,3,STAC 4,CLIC 2,,MERC 1,TGBC 1,CAMC 21,WANC 1,SKEC 1,WELC 2,"1=FA; + 3 NF; NF 9=FB; etc"
11 (K),08:08,2,M Clb 2X,heat,4,SHAC 1,SKEC 2,CAMC 2,AWGC 2,WREC 1,HKIC 2,GISC 2,WESC 2,,"1=FA; + 3 NF; NF 9=FB; etc"
12 (L),08:12,2,M Clb 2X,heat,5,NSHC 2,STAC 2,SPCC 2,HKIC 1,HAMC 2,WKOC 2,TGSC 1,WANC 2,,"1=FA; + 3 NF; NF 9=FB; etc"
13 (M),08:16,2,M Clb 2X,heat,6,GISC 4,SJHM 1,HAMC 3,WESC 1,STAC 1,GISC 1,NSHC 1,AKLC 1,,"1=FA; + 3 NF; NF 9=FB; etc"
14 (N),08:20,3,W Int 4+,heat,1,HAMG 2,SKEC 1,MERC 1,HAMC 1,EGGS 1,WKDS 1,AKLC 32,WANC 1,,"1=FA; + 5 NF; NF 9=FB; etc"
15 (O),08:24,3,W Int 4+,heat,2,WEL* 2,CAMC 13,KIC* 1,AKLC 31,WKDS 3,CAMC 11,EGGS 2,HAMG 1,,"1=FA; + 5 NF; NF 9=FB; etc"
16 (P),08:28,3,W Int 4+,heat,3,PORC 2,BPCC 1,CAMC 12,UNWC 1,PORC 1,AKLC 33,WKDS 2,SPCC 1,,"1=FA; + 5 NF; NF 9=FB; etc"
17 (Q),08:32,3,W Int 4+,heat,4,,MERC 2,WREC 1,CAMC 21,GISC 1,KICC 2,CAMC 22,BPCC 2,,"1=FA; + 5 NF; NF 9=FB; etc"
