Event #,Event Type,Gender,Class,Boat,Seats,Oars,Coxed,Other,Sponsor
1,W Mst C 2X,W,Mst C ,2X,2,Scull,N,,
2,M Mst D 1X,M,Mst D ,1X,1,Scull,N,,
3,W Mst F 4X-,W,Mst F ,4X-,4,Scull,N,,
5,M Mst F 2X,M,Mst F ,2X,2,Scull,N,,
6,W Mst D 1X,W,Mst D ,1X,1,Scull,N,,
7,M A-C 2-,M,Mst A-C ,2-,2,Sweep,N,,
8,W Mst B 4X-,W,Mst B ,4X-,4,Scull,N,,
9,W Mst A 1X,W,Mst A ,1X,1,Scull,N,,
10,M Mst E 2-,M,Mst E ,2-,2,Sweep,N,,
11,W Mst I 1X,W,Mst I ,1X,1,Scull,N,,
12,W Mst G 2X,W,Mst G ,2X,2,Scull,N,,
13,W Mst H 1X,W,Mst H ,1X,1,Scull,N,,
14,W Mst E 4X-,W,Mst E ,4X-,4,Scull,N,,
15,M G-M 8+,M,Mst G-M ,8+,8,Sweep,Y,,
19,W MNw 4X+,W,Mst MNw,4X+,4,Scull,Y,,
20,W MNv 4X+,W,Mst MNv,4X+,4,Scull,Y,,
21,Opn 1X (P),Open,Opn,1X,1,Scull,N,Para,
22,M Mst B 2X,M,Mst B ,2X,2,Scull,N,,
23,M MNw 4X+,M,Mst MNw,4X+,4,Scull,Y,,
25,M Mst A 1X,M,Mst A ,1X,1,Scull,N,,
26,Mx G-M 2X,Mx,Mst G-M ,2X,2,Scull,N,,
27,M Mst C 1X,M,Mst C ,1X,1,Scull,N,,
28,Mx D-F 4X-,Mx,Mst D-F ,4X-,4,Scull,N,,
29,W A-C 8+,W,Mst A-C ,8+,8,Sweep,Y,,
33,M G-M 4-,M,Mst G-M ,4-,4,Sweep,N,,
34,W Mst D 2X,W,Mst D ,2X,2,Scull,N,,
35,W G-M 4-,W,Mst G-M ,4-,4,Sweep,N,,
36,W Mst E 2-,W,Mst E ,2-,2,Sweep,N,,
37,W Mst F 1X,W,Mst F ,1X,1,Scull,N,,
38,Mx A-C 4X-,Mx,Mst A-C ,4X-,4,Scull,N,,
39,M D-F 8+,M,Mst D-F ,8+,8,Sweep,Y,,
44,W Mst B 1X,W,Mst B ,1X,1,Scull,N,,
45,W Mst A 2X,W,Mst A ,2X,2,Scull,N,,
46,W Mst C 1X,W,Mst C ,1X,1,Scull,N,,
47I,Mst 2X,Open,Mst ,2X,2,Scull,N,,
48,M Mst C 4X-,M,Mst C ,4X-,4,Scull,N,,
49,M Mst B 1X,M,Mst B ,1X,1,Scull,N,,
50,Mx MNw 2X,Mx,Mst MNw,2X,2,Scull,N,,
51,Mx MNv 2X,Mx,Mst MNv,2X,2,Scull,N,,
52,Mx G-M 4X-,Mx,Mst G-M ,4X-,4,Scull,N,,
53,Mx D-F 8+,Mx,Mst D-F ,8+,8,Sweep,Y,,
57,M Mst F 2-,M,Mst F ,2-,2,Sweep,N,,
58,M Mst E 1X,M,Mst E ,1X,1,Scull,N,,
60,W Mst E 1X,W,Mst E ,1X,1,Scull,N,,
61,W Mst G 4X-,W,Mst G ,4X-,4,Scull,N,,
62,M G-M 2-,M,Mst G-M ,2-,2,Sweep,N,,
63,W MNw 1X,W,Mst MNw,1X,1,Scull,N,,
64,W MNv 2X,W,Mst MNv,2X,2,Scull,N,,
65,Mx E-M 4-,Mx,Mst E-M ,4-,4,Sweep,N,,
66,W H-M 2X,W,Mst H-M ,2X,2,Scull,N,,
67,Mx A-D 4-,Mx,Mst A-D ,4-,4,Sweep,N,,
68,M MNw 1X,M,Mst MNw,1X,1,Scull,N,,
69,M MNv 2X,M,Mst MNv,2X,2,Scull,N,,
73,Mx D-F 2X,Mx,Mst D-F ,2X,2,Scull,N,,
74,M MNw 2X,M,Mst MNw,2X,2,Scull,N,,
76,W Mst A 4X-,W,Mst A ,4X-,4,Scull,N,,
77,W Mst B 2X,W,Mst B ,2X,2,Scull,N,,
78,W Mst C 4X-,W,Mst C ,4X-,4,Scull,N,,
79,W G-M 2-,W,Mst G-M ,2-,2,Sweep,N,,
80,M G-M 4X-,M,Mst G-M ,4X-,4,Scull,N,,
81,M A-C 8+,M,Mst A-C ,8+,8,Sweep,Y,,
85,M Mst D 2X,M,Mst D ,2X,2,Scull,N,,
86,W MNw 2X,W,Mst MNw,2X,2,Scull,N,,
87,W MNv 4+,W,Mst MNv,4+,4,Sweep,Y,,
88,W Mst E 2X,W,Mst E ,2X,2,Scull,N,,
89,M Mst F 1X,M,Mst F ,1X,1,Scull,N,,
90,W Mst D 2-,W,Mst D ,2-,2,Sweep,N,,
91,W H-M 4X-,W,Mst H-M ,4X-,4,Scull,N,,
92,M H-M 2X,M,Mst H-M ,2X,2,Scull,N,,
93,W Mst F 2X,W,Mst F ,2X,2,Scull,N,,
94,W Mst G 1X,W,Mst G ,1X,1,Scull,N,,
95,M Mst G 2X,M,Mst G ,2X,2,Scull,N,,
96,M Mst E 4X-,M,Mst E ,4X-,4,Scull,N,,
97,Mx A-C 8+,Mx,Mst A-C ,8+,8,Sweep,Y,,
101,M Mst E 2X,M,Mst E ,2X,2,Scull,N,,
102,Mx A-C 2X,Mx,Mst A-C ,2X,2,Scull,N,,
103,M Mst D 4X-,M,Mst D ,4X-,4,Scull,N,,
104,M Mst I 1X,M,Mst I ,1X,1,Scull,N,,
106,Mx MNw 4X+,Mx,Mst MNw,4X+,4,Scull,Y,,
107,Mx MNv 4X+,Mx,Mst MNv,4X+,4,Scull,Y,,
108,M Mst H 1X,M,Mst H ,1X,1,Scull,N,,
109,M Mst G 1X,M,Mst G ,1X,1,Scull,N,,
110,M Mst F 4X-,M,Mst F ,4X-,4,Scull,N,,
111,W D-F 8+,W,Mst D-F ,8+,8,Sweep,Y,,
115,W D-F 4-,W,Mst D-F ,4-,4,Sweep,N,,
116,W A-C 2-,W,Mst A-C ,2-,2,Sweep,N,,
117,M Mst C 2X,M,Mst C ,2X,2,Scull,N,,
118,M D-F 4-,M,Mst D-F ,4-,4,Sweep,N,,
119,M Mst A 2X,M,Mst A ,2X,2,Scull,N,,
121,Mx G-M 8+,Mx,Mst G-M ,8+,8,Sweep,Y,,
125,W Mst D 4X-,W,Mst D ,4X-,4,Scull,N,,
126,M Mst D 2-,M,Mst D ,2-,2,Sweep,N,,
127,W A-C 4-,W,Mst A-C ,4-,4,Sweep,N,,
128,M A-C 4-,M,Mst A-C ,4-,4,Sweep,N,,
129,W G-M 8+,W,Mst G-M ,8+,8,Sweep,Y,,
