Event #,Event Type,Gender,Class,Boat,Seats,Oars,Coxed,Other,Sponsor
1,B U17 1X,M,U17 ,1X,1,Scull,N,,
2,G U17 4+,W,U17 ,4+,4,Sweep,Y,,
3,B U15 2X,M,U15 ,2X,2,Scull,N,,
4,G U15 4X+,W,U15 ,4X+,4,Scull,Y,,
5,B U18 2-,M,U18 ,2-,2,Sweep,N,,
6,G U18 2X,W,U18 ,2X,2,Scull,N,,
7,B U16 4X+,M,U16 ,4X+,4,Scull,Y,,
8,G U16 1X,W,U16 ,1X,1,Scull,N,,
9,B N18 2X,M,U18 Nov,2X,2,Scull,N,,
10,G N18 8+,W,U18 Nov,8+,8,Sweep,Y,,
11,B U17 8+,M,U17 ,8+,8,Sweep,Y,,
12,G U17 4X+,W,U17 ,4X+,4,Scull,Y,,
13,B U15 8X+,M,U15 ,8X+,8,Scull,Y,,
14,G U15 4+,W,U15 ,4+,4,Sweep,Y,,
15,B U18 4X+,M,U18 ,4X+,4,Scull,Y,,
16,G U18 2-,W,U18 ,2-,2,Sweep,N,,
17,B U16 4+,M,U16 ,4+,4,Sweep,Y,,
18,G U16 8+,W,U16 ,8+,8,Sweep,Y,,
19,B N18 8+,M,U18 Nov,8+,8,Sweep,Y,,
20,G N18 2X,W,U18 Nov,2X,2,Scull,N,,
21,B U17 2X,M,U17 ,2X,2,Scull,N,,
22,G U17 1X,W,U17 ,1X,1,Scull,N,,
23,G U15 8X+,W,U15 ,8X+,8,Scull,Y,,
24,B U15 8+,M,U15 ,8+,8,Sweep,Y,,
25,B U18 4+,M,U18 ,4+,4,Sweep,Y,,
26,G U18 4+,W,U18 ,4+,4,Sweep,Y,,
27,G U16 4X+,W,U16 ,4X+,4,Scull,Y,,
28,B U16 2X,M,U16 ,2X,2,Scull,N,,
29,G U18 1X,W,U18 ,1X,1,Scull,N,,
30,B U18 1X,M,U18 ,1X,1,Scull,N,,
31,G U15 2X,W,U15 ,2X,2,Scull,N,,
32,B U15 4X+,M,U15 ,4X+,4,Scull,Y,,
33,G U17 8+,W,U17 ,8+,8,Sweep,Y,,
34,B U17 4+,M,U17 ,4+,4,Sweep,Y,,
35,G N18 4X+,W,U18 Nov,4X+,4,Scull,Y,,
36,B N18 4+,M,U18 Nov,4+,4,Sweep,Y,,
37,G U16 4+,W,U16 ,4+,4,Sweep,Y,,
38,B U16 8+,M,U16 ,8+,8,Sweep,Y,,
39,G U17 2-,W,U17 ,2-,2,Sweep,N,,
40,B U17 2-,M,U17 ,2-,2,Sweep,N,,
41,G U18 4X+,W,U18 ,4X+,4,Scull,Y,,
42,B U18 2X,M,U18 ,2X,2,Scull,N,,
43,G U15 8+,W,U15 ,8+,8,Sweep,Y,,
44,B U15 4+,M,U15 ,4+,4,Sweep,Y,,
45,G U17 2X,W,U17 ,2X,2,Scull,N,,
46,B U17 4X+,M,U17 ,4X+,4,Scull,Y,,
47,G N18 4+,W,U18 Nov,4+,4,Sweep,Y,,
48,B N18 4X+,M,U18 Nov,4X+,4,Scull,Y,,
49,G U16 2X,W,U16 ,2X,2,Scull,N,,
50,B U16 1X,M,U16 ,1X,1,Scull,N,,
52,B U18 8+,M,U18 ,8+,8,Sweep,Y,,
51,G U18 8+,W,U18 ,8+,8,Sweep,Y,,
