"DAY SHEETS — U19 Coastal Selection Trial, Big Manly Beach"
DAY 1: Saturday 18th July 2026
Race,Time,Event #,Event Type,Round,Division,lane_1,lane_2
1,08:30,1,G U19 CJW1X,time trial,1,KEDD,
2,08:33,1,G U19 CJW1X,time trial,2,PENG,
3,08:36,1,G U19 CJW1X,time trial,3,KUBA,
4,08:39,1,G U19 CJW1X,time trial,4,BROO,
5,08:42,1,G U19 CJW1X,time trial,5,HARR,
6,08:45,1,G U19 CJW1X,time trial,6,CHUR,
7,08:50,2,B U19 CJM1X,time trial,1,CRIM,
8,08:53,2,B U19 CJM1X,time trial,2,SMIT,
9,08:56,2,B U19 CJM1X,time trial,3,JOHN,
10,08:59,2,B U19 CJM1X,time trial,4,BACC,
11,09:02,2,B U19 CJM1X,time trial,5,HALE,
12,09:10,3,G U19 CJW1X,heat,WP1,W3,W6
13,09:18,3,G U19 CJW1X,heat,WP2,W4,W5
14,09:26,3,G U19 CJW1X,sf,WSF1,1,winner (3 v 6)
15,09:34,3,G U19 CJW1X,sf,WSF2,2,winner (4 v 5)
16,09:42,3,G U19 CJW1X,final,WF,WSF1,WSF2
17,09:50,3,G U19 CJW1X,final,WB,loser (WSF1),loser (WSF2)
18,09:35,4,B U19 CJM1X,heat,MP1,M4,M5
19,09:43,4,B U19 CJM1X,sf,MSF1,1,3
20,09:51,4,B U19 CJM1X,sf,MSF2,2,winner (4 v 5)
21,09:59,4,B U19 CJM1X,final,MF,MSF1,MSF2
22,10:07,4,B U19 CJM1X,final,MB,loser (MSF1),loser (MSF2)
23,11:25,5,Mx U19 CJMix2X,heat,MX1,M2+W2,M3+W3
24,11:45,5,Mx U19 CJMix2X,heat,MX2,M2+W3,M3+W2
25,13:05,6,U19 Doubles TT,time trial,D1,CJW2X KEDD+KUBA,
26,13:08,6,U19 Doubles TT,time trial,D2,CJM2X BACC+SMIT,
27,13:11,6,U19 Doubles TT,time trial,D3,CJMix2X JOHN+HARR,
28,13:14,6,U19 Doubles TT,time trial,D4,CJW2X KEDD+BROO,
